alert_id,detected_timestamp,resolved_timestamp,hostname,user_id,endpoint_product,alert_name,severity,status,description,file_path,process_name,sha256,assigned_to,device_criticality,severity_rank,resolution_duration_hours
EPA00006267,2026-09-04 11:55:00,Unknown,VDR-11629,EMP11629,Defender,Ransomware Activity,Low,New,User reported machine slowdown after popup. AV alert generated.,C:\ProgramData\svc\agent.dll,winword.exe,Unknown,soc.analyst1,Unknown,1,62.99
EPA00002200,2026-08-11 00:00:00,Unknown,Unknown,EMP12868,Quick Heal,Browser hijack attempt,Medium,New,Multiple failed attempts to disable security agent.,E:\Backup\data.rar,python.exe,45e414c1a4c653b037d617c3a30ea74fe1b19a382b6f95ed196bd32b12e11dba,incident.team,Critical,2,62.99
EPA00006974,2026-09-08 01:32:28,2026-09-08 03:32:00,LPT-11884,EMP11884,SentinelOne,Credential dumping attempt,High,Unassigned,Threat detected after file download from external website.,C:\Users\Public\Downloads\invoice.exe,msedge.exe,Unknown,admin,Low,3,1.99
EPA00001672,2026-09-07 20:25:00,Unknown,WS-11828,EMP11828,Defender,suspicious_powershell,Medium,False Positive,Process attempted to access sensitive directory.,C:\Windows\Temp\update.tmp,cmd.exe,Unknown,Unknown,Low,2,62.99
EPA00000731,2026-09-03 09:51:16,2026-09-08 07:51:16,Unknown,EMP10364,Defender,MALWARE_DETECTED,Low,Closed,User reported machine slowdown after popup. AV alert generated.,C:\Users\user\Desktop\salary.xlsx,msedge.exe,Unknown,incident.team,Unknown,1,118.0
EPA00002392,2026-08-23 21:53:00,2026-08-25 03:53:00,LPT-12183,EMP12183,McAfee,Suspicious PowerShell Execution,Medium,False Positive,Endpoint protection detected suspicious activity on host.,D:\Projects\scripts\cleanup.ps1,powershell.exe,Unknown,Unknown,Low,2,30.0
EPA00006125,Unknown,2026-08-15 06:29:42,WS-12356,EMP12356,SentinelOne,MALWARE_DETECTED,High,False Positive,User reported machine slowdown after popup. AV alert generated.,C:\Windows\System32\drivers\etc\hosts,excel.exe,Unknown,Unknown,Medium,3,62.99
EPA00007289,2026-08-14 07:34:40,Unknown,WS-11315,EMP11315,McAfee,Browser hijack attempt,Critical,New,Endpoint protection detected suspicious activity on host.,C:\Windows\System32\drivers\etc\hosts,powershell.exe,e7bed2ffbd07a0ff94776fa6b2e8d80340fb7ff3a9cdcaf83d3e372f03295f50,incident.team,High,4,62.99
EPA00006379,2026-09-01 00:00:00,2026-09-04 03:01:38,LPT-11335,EMP11335,SentinelOne,suspicious_powershell,Medium,Open,Multiple failed attempts to disable security agent.,Unknown,unknown,17f5f0ef53d7d80b308d9cc21cf3ea800a3e623ae3f90d8f5aacbaa88e86e99c,Unknown,High,2,75.03
EPA00000626,2026-08-01 00:00:00,2026-07-30 00:00:00,WS-10945,EMP10945,Kaspersky,Unauthorized USB,Low,False Positive,Endpoint protection detected suspicious activity on host.,C:\Windows\Temp\update.tmp,explorer.exe,f5c9706f6e9a0073ab4ba17e7c6cc2a27fb94dbb62043dedf2aa069bceb9d8bc,incident.team,Critical,1,62.99
EPA00004751,2026-08-19 23:36:06,Unknown,LPT-11674,EMP11674,McAfee,suspicious_powershell,Medium,Investigating,Process attempted to access sensitive directory.,C:\ProgramData\svc\agent.dll,python.exe,7c62729a31ed5d2e1bfac0d28a9f7ca1d151004c33631e7118d634b3f3d52ad3,Unknown,Low,2,62.99
EPA00005185,2026-09-08 15:59:18,2026-09-11 13:59:00,LPT-12322,EMP12322,Quick Heal,Unusual admin share access,High,Open,User reported machine slowdown after popup. AV alert generated.,C:\ProgramData\svc\agent.dll,Unknown,30068703ed64470e8074d609f385866642588584bb1834fc880983c08d4f7880,incident.team,Unknown,3,70.0
EPA00006353,2026-09-05 10:42:29,2026-09-08 20:42:29,WS-10933,EMP10933,Quick Heal,Malware detected,Medium,Closed,Malicious file blocked. User notified. Need validation.,C:\Users\Public\Downloads\invoice.exe,explorer.exe,Unknown,Unknown,Medium,2,82.0
EPA00006544,2026-08-04 10:14:47,2026-08-08 00:00:00,LPT-10745,EMP10745,McAfee,Malware detected,High,Closed,Multiple failed attempts to disable security agent.,D:\Projects\scripts\cleanup.ps1,explorer.exe,b8be583420ea26a4d8c4d11e75f38834b09358b765b765e8cbcad18a7f97c666,soc.analyst1,Medium,3,85.75
EPA00001941,2026-08-10 18:01:45,Unknown,LPT-12061,EMP12061,Kaspersky,USB device blocked,Critical,False Positive,Alert generated from heuristic engine. Possible false positive.,Unknown,cmd.exe,e516f6d0eb76efa945fe5494d00b0473319530d5e9ca65f9b39c77d4e6866f86,unassigned,High,4,62.99
EPA00002863,2026-08-02 21:19:23,2026-08-02 06:19:23,WS-12544,EMP12544,Windows Defender,MALWARE_DETECTED,Medium,Open,Suspicious script execution observed. Logs attached.,C:\Users\user\AppData\Local\Temp\cache.bin,cmd.exe,Unknown,admin,Critical,2,62.99
EPA00003348,2026-08-18 17:06:55,2026-08-19 01:06:55,Unknown,EMP11714,SentinelOne,Unauthorized USB,Medium,Resolved,Suspicious script execution observed. Logs attached.,C:\Users\user\AppData\Local\Temp\cache.bin,chrome.exe,ea4b4c0ab8253702660be4de801793387d30ef7352306fbed128e9cde79c9010,Unknown,Critical,2,8.0
EPA00003756,2026-08-07 22:18:19,2026-08-09 05:18:00,WS-12720,EMP12720,Carbon Black,Unauthorized USB,High,New,Suspicious script execution observed. Logs attached.,C:\Windows\System32\drivers\etc\hosts,chrome.exe,Unknown,Unknown,High,3,30.99
EPA00006863,2026-08-07 10:17:48,2026-08-07 12:17:48,WS-11777,EMP11777,Carbon Black,Browser hijack attempt,Medium,Unassigned,Multiple failed attempts to disable security agent.,C:\Windows\Temp\update.tmp,excel.exe,019fa705724a31ac3a85d3f18b78c74725604b93165a3b108a3f23f803f13038,Unknown,Low,2,2.0
EPA00005458,2026-08-31 05:21:21,2026-08-31 05:21:21,VDR-10772,EMP10772,McAfee,MALWARE_DETECTED,Medium,Resolved,Alert generated from heuristic engine. Possible false positive.,C:\Users\user\AppData\Local\Temp\cache.bin,powershell.exe,0bbeb87e7f9139b1a3bebc6571a3928ebd52115d6bc678016871c4456f4b52e2,Unknown,Medium,2,0.0
EPA00007636,2026-08-02 22:49:16,2026-08-07 07:49:00,VDR-10740,EMP10740,CrowdStrike,Ransomware Activity,Medium,Unassigned,Endpoint protection detected suspicious activity on host.,Unknown,python.exe,Unknown,admin,Low,2,105.0
EPA00000928,2026-08-06 06:03:39,2026-08-09 00:00:00,Unknown,EMP11073,Windows Defender,Ransomware Activity,Low,False Positive,Threat detected after file download from external website.,Unknown,Unknown,6656cc9d31415c4ada257da0b23ff4b4f035e2932e75dd7da745cfcccb35e4a7,soc.analyst1,Unknown,1,65.94
EPA00004588,2026-08-20 03:27:15,2026-08-21 08:27:15,VDR-10961,EMP10961,Kaspersky,Keylogger suspected,High,Open,Threat detected after file download from external website.,C:\Users\user\AppData\Local\Temp\cache.bin,cmd.exe,324f1160dd6bccc01abde0257be00379617b81ebfe523ba95333ce9b80ba1f66,Unknown,High,3,29.0
EPA00003097,2026-09-01 08:28:35,2026-09-03 22:28:00,WS-11009,EMP11009,SentinelOne,Ransomware Activity,Medium,Open,Alert triggered by abnormal network connection.,E:\Backup\data.rar,python.exe,Unknown,Unknown,Unknown,2,61.99
EPA00004225,2026-08-02 15:54:06,2026-08-07 09:54:06,LPT-12208,EMP12208,Kaspersky,USB device blocked,Low,Open,Malicious file blocked. User notified. Need validation.,Unknown,Unknown,f34338a99d172c7d7dfc3e1addebbf6c29b819b569178c79cefa00abfbca11d7,admin,High,1,114.0
EPA00001011,2026-09-03 00:00:00,Unknown,WS-12009,EMP12009,Carbon Black,Suspicious PowerShell Execution,Low,Open,Endpoint agent blocked execution. Review required.,C:\Windows\System32\drivers\etc\hosts,chrome.exe,20205897f0fef5fab94a6aa3fb6fc0bf41149e3e46f99678fa9c541a6d422736,soc.analyst1,Medium,1,62.99
EPA00001923,Unknown,Unknown,WS-10148,EMP10148,Quick Heal,suspicious_powershell,High,False Positive,Threat detected after file download from external website.,C:\Users\user\Desktop\salary.xlsx,chrome.exe,6b181afb6d1e681c1613359ee23110f0bbdb70de8605e52f68df0c498ea0aad0,admin,Medium,3,62.99
EPA00007021,2026-09-05 22:31:00,2026-09-08 20:31:47,VDR-12210,EMP12210,CrowdStrike,Malware detected,Medium,In Progress,Multiple failed attempts to disable security agent.,Unknown,msedge.exe,06969f695080ed7ba6e3e61b33e85ad00ab0ce517b92a09031722f74d96870cd,Unknown,High,2,70.01
EPA00004707,2026-09-07 00:00:00,2026-09-10 19:23:49,WS-11043,EMP11043,SYMANTEC,Browser hijack attempt,Medium,Unassigned,Endpoint agent blocked execution. Review required.,Unknown,explorer.exe,69aaa9ed0ae5b0b667ed48cd4fc4f623d1283613bac8805306b6833ef665d097,soc.analyst1,Medium,2,91.4
EPA00003002,Unknown,2026-08-08 00:24:20,VDR-12836,EMP12836,CrowdStrike,MALWARE_DETECTED,High,False Positive,Malicious file blocked. User notified. Need validation.,C:\Users\user\AppData\Local\Temp\cache.bin,winword.exe,Unknown,Unknown,Unknown,3,62.99
EPA00000316,2026-08-11 00:00:00,2026-08-12 00:00:00,WS-12671,EMP12671,Quick Heal,Suspicious PowerShell Execution,Medium,New,Alert triggered by abnormal network connection.,Unknown,unknown,e340223b4b2c5e5e29050948300b7289bdb7aa0dd5d5a4cd9598653d43d2c3ca,soc.analyst1,High,2,24.0
EPA00001980,2026-09-05 10:45:05,Unknown,WS-12274,EMP12274,SentinelOne,Suspicious PowerShell Execution,Medium,Open,Alert triggered by abnormal network connection.,E:\Backup\data.rar,msedge.exe,76943acaef478b4c4261b66a685841c765c2b1107fd04d95a2ae7a7c08196cd4,admin,Unknown,2,62.99
EPA00005750,2026-08-05 18:42:22,2026-08-06 19:42:22,LPT-11840,EMP11840,SentinelOne,Browser hijack attempt,Low,In Progress,Endpoint protection detected suspicious activity on host.,C:\Windows\Temp\update.tmp,winword.exe,Unknown,Unknown,Low,1,25.0
EPA00001415,2026-08-09 03:16:15,2026-08-09 11:16:00,LPT-11220,EMP11220,Defender,Browser hijack attempt,Medium,False Positive,User reported machine slowdown after popup. AV alert generated.,Unknown,excel.exe,Unknown,Unknown,High,2,8.0
